Task Name,Task Time,Session Time,Session Start Date,Session End Date,Session Notes
"Project 3","50h 14m","0h 15m","2011-11-29 09:14:57","2011-11-29 09:30:03","ruby 1.9.3"
"Project 3","50h 14m","1h 31m","2011-11-29 10:34:56","2011-11-29 12:06:20","standup"
"Project 3","50h 14m","2h 5m","2011-11-29 12:47:59","2011-11-29 14:53:46",""
"Project 3","50h 14m","0h 13m","2011-11-29 15:17:44","2011-11-29 15:31:02",""
"Project 3","50h 14m","0h 20m","2011-11-29 16:44:25","2011-11-29 17:04:51",""
"Project 3","50h 14m","1h 37m","2011-11-29 17:16:26","2011-11-29 18:54:25","Rails 3.1.3"
"Project 3","50h 14m","0h 19m","2011-11-30 08:47:27","2011-11-30 09:06:34",""
"Project 3","50h 14m","0h 21m","2011-11-30 09:09:00","2011-11-30 09:30:01",""
"Project 3","50h 14m","0h 19m","2011-11-30 10:32:32","2011-11-30 10:51:48","Standup"
"Project 3","50h 14m","0h 39m","2011-11-30 10:51:49","2011-11-30 11:31:34",""
"Project 3","50h 14m","1h 3m","2011-11-30 11:38:16","2011-11-30 12:42:04",""
"Project 3","50h 14m","3h 0m","2011-12-05 08:30:53","2011-12-05 11:31:27","Rails 3.1.3"
"Project 3","50h 14m","0h 14m","2011-12-05 11:51:32","2011-12-05 12:05:52",""
"Project 3","50h 14m","0h 41m","2011-12-05 16:01:25","2011-12-05 16:43:18",""
"Project 3","50h 14m","2h 56m","2011-12-06 09:10:47","2011-12-06 12:07:32",""
"Project 3","50h 14m","3h 7m","2011-12-06 13:37:53","2011-12-06 16:45:50",""
"Project 3","50h 14m","1h 0m","2011-12-07 09:03:29","2011-12-07 10:03:40",""
"Project 3","50h 14m","2h 1m","2011-12-07 10:03:41","2011-12-07 12:04:47",""
"Project 3","50h 14m","1h 59m","2011-12-07 13:28:39","2011-12-07 15:28:35",""
"Project 3","50h 14m","0h 39m","2011-12-07 15:45:26","2011-12-07 16:25:00",""
"Project 3","50h 14m","0h 26m","2011-12-07 16:45:16","2011-12-07 17:11:30",""
"Project 3","50h 14m","2h 50m","2011-12-08 09:17:57","2011-12-08 12:08:13","capybara-webkit"
"Project 3","50h 14m","0h 42m","2011-12-09 11:04:48","2011-12-09 11:47:21","Code review
"
"Project 3","50h 14m","1h 16m","2011-12-09 16:02:07","2011-12-09 17:18:42",""
"Project 3","50h 14m","0h 58m","2011-12-12 10:31:52","2011-12-12 11:30:14","Standup"
"Project 3","50h 14m","0h 50m","2011-12-12 12:54:58","2011-12-12 13:45:44",""
"Project 3","50h 14m","0h 52m","2011-12-12 13:55:55","2011-12-12 14:48:53","new google adwords account setup"
"Project 3","50h 14m","1h 10m","2011-12-12 16:24:14","2011-12-12 17:35:10",""
"Project 3","50h 14m","2h 45m","2011-12-14 09:51:45","2011-12-14 12:37:08","Staging testing; Standup"
"Project 3","50h 14m","0h 7m","2011-12-14 14:01:21","2011-12-14 14:08:25",""
"Project 3","50h 14m","3h 19m","2011-12-14 14:19:25","2011-12-14 17:38:37",""
"Project 3","50h 14m","2h 21m","2011-12-15 08:35:18","2011-12-15 10:57:00","Staging testing for inventories purge"
"Project 3","50h 14m","0h 33m","2011-12-15 13:48:20","2011-12-15 14:21:30","Adwords setup"
"Project 4","1h 19m","1h 5m","2011-11-29 15:31:03","2011-11-29 16:36:52","Interview"
"Project 4","1h 19m","0h 13m","2011-12-06 16:45:51","2011-12-06 16:59:12",""
